rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
28;spotify:track:1eEK8eQETi8q8bU0lxRMlq;Sigrid, Bring Me The Horizon;Bad Life;Petroleum Records;28;-1;1;262038
29;spotify:track:58HvfVOeJY7lUuCqF0m3ly;Elley Duhé;MIDDLE OF THE NIGHT;Not Fit For Society/RCA Records;22;29;15;261967
30;spotify:track:2Y7npn076wSZJgH8HVr2B2;Halva Priset, Maria Mena;Den fineste Chevy'n (feat. Maria Mena);All In/GG Music;1;27;61;256320
31;spotify:track:3uUuGVFu1V7jTQL60S1r8z;Lost Frequencies, Calum Scott;Where Are You Now;Epic Amsterdam;8;32;39;253471
32;spotify:track:1bgKMxPQU7JIZEhNsM1vFs;Alesso, Zara Larsson;Words (feat. Zara Larsson);10:22PM;32;-1;1;250486
33;spotify:track:7dDrR6vMK1JAwZZ5MIWgme;Dylan Conrique;Birthday Cake;KYN Entertainment;19;25;7;247887
34;spotify:track:5vkNNLnO28ZGA2QryYpXZU;Vidar Villa, Halva Priset;Den Samme Jævla Sangen;Universal Music AS;15;26;4;246080
35;spotify:track:2USlegnFJLrVLpoVfPimKB;Gabry Ponte, LUM!X, Prezioso;Thunder;Spinnin' Records;5;30;46;244648
36;spotify:track:5PjdY0CKGZdEuoNab3yDmX;The Kid LAROI, Justin Bieber;STAY (with Justin Bieber);Columbia;1;31;42;243938
37;spotify:track:18asYwWugKjjsihZ0YvRxO;Tiësto, Ava Max;The Motto;Atlantic Records;10;33;25;243693
38;spotify:track:50nfwKoDiSYg8zOCREWAm5;Ed Sheeran;Shivers;Atlantic Records UK;3;37;33;227983
39;spotify:track:5ncw9IXIDoIwC9793GP7P7;Arif Murakami, Stig Brenner;Jugekors;Nora Streams;39;-1;1;224510
40;spotify:track:3EzeIilO4QWtrGRqG9TVqB;Mr Melk;Fredag - Digg å være norsk;RCA Records Label;13;28;6;223180
41;spotify:track:03A6SBlg1C7T8UMjBSz4Zn;Hjorterud Allé;Hjorterud Allé;Hjorterud Allé;39;39;3;219882
42;spotify:track:1HhNoOuqm1a5MXYEgAFl8o;Imagine Dragons, JID, Arcane, League of Legends;Enemy (with JID) - from the series Arcane League of Legends;Kid Ina Korner / Interscope;5;34;26;218537
43;spotify:track:6NSkEJkizMph9GJSqjNhFW;Chris Holsten;Smilet i ditt eget speil;WM Norway;5;41;59;215211
